Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.SUBESTACAO, -0.006544112, 83.36226, -0.006544112, 83.36226, 0, 0
Transformer.TR611, 0.0002715684, 0.09658219, 0.0002715684, 0.09658219, 0, 0
Transformer.TR634, 5686.712, 10339.68, 5686.712, 10339.68, 0, 0
Transformer.TR645, 1337.987, 2432.738, 1337.987, 2432.738, 0, 0
Transformer.TR646, 9975.385, 18137.36, 9975.385, 18137.36, 0, 0
Transformer.TR652, 454.97, 827.2674, 454.97, 827.2674, 0, 0
Transformer.TR670, 5744.451, 10444.61, 5744.451, 10444.61, 0, 0
Transformer.TR671, 1256.479, 2284.815, 1256.479, 2284.815, 0, 0
Transformer.TR675, 28669.84, 52127.08, 28669.84, 52127.08, 0, 0
Transformer.TR680, 7737.297, 14067.91, 7737.297, 14067.91, 0, 0
Transformer.TR692, 8776.378, 15957.28, 8776.378, 15957.28, 0, 0
Line.650632, 21192.43, 71350.54, 21192.43, 71350.54, 0, 0
Line.632670, 3090.965, 10276.14, 3090.965, 10276.14, 0, 0
Line.670671, 4425.694, 14783.51, 4425.694, 14783.51, 0, 0
Line.671680, 143.1468, 455.0102, 143.1468, 455.0102, 0, 0
Line.632633, 342.1186, 452.068, 342.1186, 452.068, 0, 0
Line.632645, 3041.036, 2465.055, 3041.036, 2465.055, 0, 0
Line.645646, 1530.504, 1255.922, 1530.504, 1255.922, 0, 0
Line.692675, 834.8693, 459.128, 834.8693, 459.128, 0, 0
Line.671684, 108.6041, 94.91318, 108.6041, 94.91318, 0, 0
Line.684611, 93.81039, 94.74093, 93.81039, 94.74093, 0, 0
Line.684652, 72.85454, -50.3191, 72.85454, -50.3191, 0, 0
Transformer.REGFASEA, 2.642896, 28.17248, 2.642896, 28.17248, 0, 0
Transformer.REGFASEB, 3.362498, 35.35776, 3.362498, 35.35776, 0, 0
Transformer.REGFASEC, 5.345612, 55.2105, 5.345612, 55.2105, 0, 0
Capacitor.CAP1, -1.455192E-011, -623062.5, -1.455192E-011, -623062.5, 0, 0
Capacitor.CAP2, 0, -104557.4, 0, -104557.4, 0, 0
Line.671692, 37.8794, 37.87194, 37.8794, 37.87194, 0, 0
