P1,P2,P3,P,,Q1,Q2,Q3,Q,,,,S1,S2,S3,S,,FP1,FP2,FP3,FPTotal,,
678.5614025,923.619229,956.9944329,2559.18,,111.1644387,-68.85815749,233.3795295,275.69,,0.908636676,,687.6067985,926.1824475,985.0402781,2573.981289,,0.986845104,0.997232491,0.971528225,0.994247734,0.92,1
606.4851345,819.9590288,855.5431532,2281.99,,71.84846046,-92.4897446,174.5532572,153.91,,0.922689966,,610.7261413,825.1588706,873.1683266,2287.171836,,0.993055796,0.993698375,0.97981469,0.997733218,0.92,1
569.7916015,767.4412396,804.2341597,2141.47,,52.4311415,-104.1665519,145.3019561,93.57,,0.930589993,,572.1988236,774.4783579,817.2546984,2143.510115,,0.995793032,0.990913732,0.984067955,0.999046837,0.92,1
641.2969629,869.9407622,904.4298602,2415.67,,90.64014768,-81.19203096,202.7354337,212.18,,0.915675858,,647.6707737,873.7213948,926.873793,2424.9684,,0.990158872,0.995672954,0.975785341,0.996164562,0.92,1
550.4392361,739.8095867,777.2618066,2067.51,,42.34863193,-110.2304679,130.0585864,62.18,,0.934987803,,552.0659011,747.976591,788.0679869,2068.445346,,0.997053495,0.989081203,0.986287756,0.999548107,0.92,1
619.4289516,838.5253276,873.6962764,2331.65,,78.79313781,-88.31414195,184.982568,175.46,,0.920031295,,624.4201988,843.163159,893.0642384,2338.24316,,0.992006589,0.994499485,0.978312913,0.997180531,0.92,1
580.5446455,782.8143215,819.2472972,2182.61,,58.08041331,-100.7692089,153.8263855,111.14,,0.928216274,,583.4427305,789.2735238,833.5638492,2185.433977,,0.995032786,0.991816269,0.982824888,0.998706109,0.92,1
565.6273829,761.4915677,798.4251057,2125.54,,50.25248863,-105.4770117,142.0111942,86.79,,0.93152563,,567.8553063,768.7618667,810.95612,2127.315083,,0.9960766,0.990542846,0.984547852,0.999167483,0.92,1
630.1127365,853.8659423,888.7012205,2372.68,,84.5631297,-84.84518463,193.6349265,193.35,,0.917881543,,635.7617349,858.0709486,909.551727,2380.545156,,0.991114598,0.995099466,0.977076063,0.996696027,0.92,1
556.9430342,749.0907336,786.3196991,2092.35,,45.72508503,-108.1998757,135.1673288,72.69,,0.933493867,,558.8168992,756.8646777,797.8526656,2093.615828,,0.996646728,0.989728753,0.985544992,0.999397043,0.92,1
