Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
1,24.1958,5.4278,0.9757,24.1098,-5.9881,0.9707,23.3916,0.0005,23.0
2,24.3837,5.5206,0.9753,24.2959,-5.9813,0.9712,23.5668,0.0005,24.0
3,24.9113,5.7812,0.9741,24.819,-5.9622,0.9725,24.0588,0.0005,24.0
4,22.6226,4.6508,0.9795,22.5526,-6.0428,0.9661,21.9221,0.0005,22.0
5,23.7805,5.2227,0.9767,23.6991,-6.0028,0.9696,23.0045,0.0005,23.0
6,24.4176,5.5373,0.9752,24.3316,-5.98,0.9713,23.6004,0.0005,24.0
7,24.0455,5.3536,0.9761,23.9588,-5.9935,0.9703,23.2494,0.0005,23.0
8,24.0225,5.3422,0.9762,23.9378,-5.9943,0.9703,23.2296,0.0005,23.0
9,23.1376,4.9052,0.9783,23.0587,-6.0254,0.9677,22.4003,0.0005,22.0
10,23.0612,4.8674,0.9784,22.9869,-6.0279,0.9675,22.3325,0.0005,22.0
11,23.1912,4.9317,0.9781,23.1165,-6.0233,0.9679,22.4549,0.0005,22.0
12,23.3479,5.0091,0.9778,23.2716,-6.0179,0.9684,22.6013,0.0005,23.0
13,22.518,4.5992,0.9798,22.446,-6.0465,0.9658,21.8213,0.0005,22.0
14,22.7305,4.7042,0.9792,22.6611,-6.0391,0.9665,22.0247,0.0005,22.0
15,22.7864,4.7318,0.9791,22.7157,-6.0372,0.9666,22.0763,0.0005,22.0
16,22.389,4.5355,0.9801,22.3204,-6.0508,0.9654,21.7025,0.0005,22.0
17,22.1577,4.4212,0.9807,22.0921,-6.0585,0.9646,21.4865,0.0005,21.0
18,21.9438,4.3156,0.9812,21.8805,-6.0656,0.9639,21.2861,0.0005,21.0
19,22.3826,4.5323,0.9801,22.3178,-6.0509,0.9653,21.7001,0.0005,22.0
20,22.2265,4.4552,0.9805,22.1606,-6.0562,0.9648,21.5513,0.0005,22.0
21,22.1327,4.4089,0.9807,22.068,-6.0593,0.9645,21.4637,0.0005,21.0
22,21.6775,4.1841,0.9819,21.6157,-6.0744,0.9629,21.0353,0.0005,21.0
23,21.79,4.2397,0.9816,21.7297,-6.0706,0.9633,21.1433,0.0005,21.0
24,21.7396,4.2148,0.9817,21.6791,-6.0723,0.9631,21.0953,0.0005,21.0
25,21.7394,4.2146,0.9817,21.6791,-6.0723,0.9631,21.0953,0.0005,21.0
26,20.4023,3.5543,0.9852,20.3541,-6.1154,0.9579,19.8376,0.0005,20.0
27,22.4026,4.5422,0.9801,22.3362,-6.0502,0.9654,21.7175,0.0005,22.0
28,20.3286,3.5179,0.9854,20.2809,-6.1177,0.9576,19.768,0.0005,20.0
29,21.2072,3.9518,0.9831,21.1558,-6.0896,0.9612,20.599,0.0005,21.0
30,21.0368,3.8677,0.9835,20.9825,-6.0952,0.9605,20.4346,0.0005,20.0
31,21.4175,4.0557,0.9825,21.362,-6.0828,0.962,20.7947,0.0005,21.0
32,20.8129,3.7571,0.9841,20.7588,-6.1024,0.9596,20.2222,0.0005,20.0
33,21.0205,3.8596,0.9836,20.968,-6.0957,0.9604,20.4208,0.0005,20.0
34,21.2534,3.9746,0.983,21.1988,-6.0882,0.9613,20.6399,0.0005,21.0
35,20.5088,3.6069,0.9849,20.457,-6.1121,0.9583,19.9354,0.0005,20.0
36,20.2134,3.461,0.9857,20.1661,-6.1213,0.9571,19.6588,0.0005,20.0
37,20.1596,3.4344,0.9858,20.1138,-6.1229,0.9568,19.609,0.0005,20.0
38,20.3908,3.5486,0.9852,20.344,-6.1157,0.9578,19.828,0.0005,20.0
39,20.1464,3.4279,0.9858,20.0999,-6.1234,0.9568,19.5958,0.0005,20.0
40,20.3787,3.5426,0.9852,20.332,-6.1161,0.9578,19.8166,0.0005,20.0
41,19.8949,3.3037,0.9865,19.8496,-6.1312,0.9556,19.3576,0.0005,19.0
42,19.867,3.2899,0.9866,19.8238,-6.132,0.9555,19.333,0.0005,19.0
43,20.4568,3.5812,0.985,20.4109,-6.1136,0.9581,19.8916,0.0005,20.0
44,19.0901,2.9062,0.9886,19.0531,-6.1556,0.9517,18.5986,0.0004,19.0
45,19.696,3.2054,0.987,19.6568,-6.1372,0.9547,19.174,0.0004,19.0
46,18.5576,2.6431,0.99,18.5208,-6.1715,0.9489,18.0904,0.0004,18.0
47,20.0719,3.3911,0.986,20.0274,-6.1257,0.9565,19.5268,0.0005,20.0
48,19.5779,3.1471,0.9873,19.5352,-6.1409,0.9542,19.0582,0.0004,19.0
49,18.9856,2.8546,0.9889,18.9475,-6.1588,0.9512,18.4978,0.0004,18.0
50,18.9581,2.8409,0.989,18.9223,-6.1595,0.9511,18.4738,0.0004,18.0
51,18.7074,2.7171,0.9896,18.6728,-6.167,0.9497,18.2356,0.0004,18.0
52,18.7695,2.7478,0.9895,18.7356,-6.1651,0.9501,18.2956,0.0004,18.0
53,18.7218,2.7243,0.9896,18.6879,-6.1666,0.9498,18.25,0.0004,18.0
54,18.0919,2.4131,0.9912,18.0606,-6.185,0.9462,17.6505,0.0004,18.0
55,17.4711,2.1065,0.9928,17.4444,-6.2027,0.9424,17.0607,0.0004,17.0
56,18.2346,2.4836,0.9909,18.2075,-6.1807,0.9471,17.7909,0.0004,18.0
57,18.2293,2.481,0.9909,18.1993,-6.181,0.947,17.7831,0.0004,18.0
58,18.2387,2.4857,0.9908,18.2087,-6.1807,0.9471,17.7921,0.0004,18.0
59,17.373,2.058,0.9931,17.346,-6.2054,0.9417,16.9665,0.0004,17.0
60,17.6672,2.2034,0.9923,17.6424,-6.197,0.9436,17.2503,0.0004,17.0
61,17.8104,2.2741,0.9919,17.784,-6.193,0.9445,17.3859,0.0004,17.0
62,17.765,2.2517,0.9921,17.7383,-6.1943,0.9442,17.3421,0.0004,17.0
63,17.5152,2.1283,0.9927,17.4895,-6.2014,0.9427,17.1039,0.0004,17.0
64,17.9257,2.331,0.9917,17.8994,-6.1897,0.9452,17.4963,0.0004,17.0
65,17.5648,2.1528,0.9926,17.5383,-6.2,0.943,17.1507,0.0004,17.0
66,17.6308,2.1854,0.9924,17.6054,-6.1981,0.9434,17.2149,0.0004,17.0
67,17.5235,2.1324,0.9927,17.4982,-6.2011,0.9427,17.1123,0.0004,17.0
68,17.6395,2.1896,0.9924,17.6142,-6.1978,0.9435,17.2233,0.0004,17.0
69,17.6738,2.2066,0.9923,17.648,-6.1969,0.9437,17.2557,0.0004,17.0
70,16.9765,1.8622,0.994,16.9529,-6.2164,0.939,16.5897,0.0004,17.0
71,17.4187,2.0806,0.9929,17.3961,-6.204,0.942,17.0145,0.0004,17.0
72,17.8825,2.3097,0.9918,17.8568,-6.1909,0.945,17.4555,0.0004,17.0
73,17.0043,1.8759,0.994,16.9798,-6.2157,0.9392,16.6155,0.0004,17.0
74,17.898,2.3173,0.9917,17.8737,-6.1904,0.9451,17.4717,0.0004,17.0
75,16.6036,1.678,0.9949,16.5846,-6.2266,0.9363,16.2363,0.0004,16.0
76,17.1159,1.931,0.9937,17.0956,-6.2125,0.94,16.7265,0.0004,17.0
77,17.0443,1.8957,0.9939,17.0224,-6.2145,0.9395,16.6563,0.0004,17.0
78,17.13,1.938,0.9937,17.1081,-6.2121,0.9401,16.7385,0.0004,17.0
79,17.5525,2.1467,0.9926,17.5289,-6.2003,0.9429,17.1417,0.0004,17.0
80,17.3391,2.0413,0.9931,17.3147,-6.2063,0.9415,16.9365,0.0004,17.0
81,17.5306,2.1359,0.9927,17.5064,-6.2009,0.9428,17.1201,0.0004,17.0
82,16.961,1.8545,0.9941,16.9379,-6.2168,0.9389,16.5753,0.0004,17.0
83,17.3659,2.0545,0.9931,17.3435,-6.2055,0.9417,16.9641,0.0004,17.0
