Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
1,19.698,-7.9848,0.9268,19.7032,-7.9848,0.9268,19.3114,-0.0,19.0
2,17.5563,-8.0012,0.91,17.5478,-6.3344,0.9406,17.2422,1.6668,17.0
3,18.2982,-7.9955,0.9163,18.2929,-6.2591,0.9462,17.9622,1.7364,18.0
4,16.4601,-8.0096,0.8992,16.4525,-6.4453,0.9312,16.1819,1.5643,16.0
5,16.2144,-8.0115,0.8965,16.2088,-6.47,0.9288,15.9456,1.5414,16.0
6,17.427,-8.0022,0.9088,17.4226,-6.3471,0.9396,17.1211,1.6551,17.0
7,16.8221,-8.0068,0.9029,16.8158,-6.4085,0.9345,16.5338,1.5983,17.0
8,17.2479,-8.0036,0.9071,17.2426,-6.3653,0.9382,16.947,1.6382,17.0
9,18.7861,-7.9918,0.9202,18.7816,-6.2098,0.9495,18.4339,1.7819,19.0
10,17.062,-8.005,0.9053,17.0542,-6.3843,0.9366,16.7647,1.6206,17.0
11,17.4178,-8.0023,0.9087,17.4123,-6.3481,0.9395,17.1112,1.6541,17.0
12,16.5872,-8.0086,0.9005,16.5807,-6.4323,0.9324,16.3061,1.5763,16.0
13,19.1311,-7.9892,0.9228,19.1279,-6.1748,0.9517,18.7678,1.8142,19.0
14,15.7594,-8.015,0.8913,15.7541,-6.5161,0.9241,15.5046,1.4988,16.0
15,16.6711,-8.008,0.9014,16.6666,-6.4236,0.9331,16.3894,1.5843,16.0
16,18.0318,-7.9976,0.9141,18.0273,-6.2859,0.9443,17.7057,1.7116,18.0
17,16.2208,-8.0114,0.8966,16.2134,-6.4695,0.9288,15.9502,1.5419,16.0
18,16.5756,-8.0087,0.9004,16.5705,-6.4333,0.9322,16.2962,1.5753,16.0
19,15.0932,-8.0201,0.8831,15.0813,-4.917,0.9508,14.8566,3.1029,15.0
20,16.9132,-8.0061,0.9038,16.9045,-4.5338,0.9659,16.6248,3.4722,17.0
21,16.2441,-8.0113,0.8969,16.2327,-4.6748,0.961,15.974,3.3363,16.0
22,17.2816,-8.0033,0.9074,17.2719,-4.4567,0.9683,16.9803,3.5465,17.0
23,16.232,-8.0114,0.8967,16.2202,-4.6775,0.9609,15.9619,3.3338,16.0
24,16.2336,-8.0113,0.8967,16.223,-4.6769,0.9609,15.9646,3.3343,16.0
25,15.6537,-8.0158,0.8901,15.6425,-4.7989,0.9561,15.4016,3.2167,16.0
26,15.971,-8.0134,0.8938,15.9607,-4.732,0.9588,15.7103,3.2812,16.0
27,16.1642,-8.0119,0.896,16.1538,-4.6914,0.9604,15.8975,3.3203,16.0
28,17.2039,-8.0039,0.9067,17.1942,-4.473,0.9678,16.9051,3.5308,17.0
29,15.1652,-8.0195,0.884,15.1526,-4.902,0.9515,14.9259,3.1174,15.0
30,15.4302,-8.0175,0.8874,15.42,-4.8457,0.9541,15.1855,3.1716,16.0
31,16.39,-8.0101,0.8984,16.3804,-4.6438,0.9621,16.1171,3.3662,16.0
32,15.7076,-8.0154,0.8907,15.6963,-4.7876,0.9566,15.4538,3.2276,16.0
33,15.9145,-8.0138,0.8932,15.9041,-4.7439,0.9583,15.6554,3.2697,16.0
34,16.3738,-8.0103,0.8983,16.3637,-4.6473,0.962,16.1009,3.3628,16.0
35,15.2731,-8.0187,0.8854,15.2615,-4.8791,0.9526,15.0316,3.1395,15.0
36,15.1136,-8.0199,0.8833,15.103,-4.9125,0.951,14.8777,3.1073,15.0
37,14.3257,-8.026,0.8724,14.3148,-5.0786,0.9425,14.1113,2.9473,14.0
38,15.0015,-8.0208,0.8819,14.9919,-4.9359,0.9499,14.7697,3.0848,15.0
39,13.6051,-8.0315,0.8611,13.5939,-5.2308,0.9334,13.4093,2.8006,14.0
40,14.2628,-8.0265,0.8715,14.2533,-5.0916,0.9418,14.0515,2.9348,14.0
