Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(TR),P Global (TR),Q Global (TR),FP Global(TR),P Global (SST),Q Global(SST),FP Global (SST),P (SST),Q (SST)
1,34.3731,12.6725,0.9383,34.1548,-3.6527,0.9944,103.1192,38.0174,0.9383,201.7314,37.119,0.9835,33.0901,0.0015,33.0
2,32.0244,11.4253,0.9419,31.8393,-3.8055,0.993,96.0562,34.2667,0.9419,188.2534,33.4975,0.9845,30.913,0.0016,31.0
3,30.8034,10.7796,0.9439,30.6367,-3.8808,0.9922,92.4231,32.3456,0.9439,181.2423,31.6231,0.9851,29.7785,0.0017,30.0
4,32.9959,11.9403,0.9403,32.7991,-3.7434,0.9936,98.9893,35.8217,0.9403,193.8437,34.9967,0.9841,31.8166,0.0016,32.0
5,30.0691,10.3922,0.9451,29.9115,-3.925,0.9916,90.2044,31.1752,0.9451,177.0108,30.4948,0.9855,29.0932,0.0017,29.0
6,32.1751,11.5051,0.9416,31.9907,-3.7958,0.9931,96.5137,34.509,0.9416,189.1356,33.7338,0.9845,31.0557,0.0016,31.0
7,30.8871,10.8238,0.9437,30.7192,-3.8758,0.9922,92.6722,32.4771,0.9437,181.7232,31.7514,0.9851,29.8564,0.0017,30.0
8,30.3573,10.5442,0.9446,30.1938,-3.9079,0.9918,91.0624,31.6276,0.9446,178.658,30.9337,0.9853,29.36,0.0017,29.0
9,32.3217,11.5827,0.9414,32.135,-3.7865,0.9932,96.9497,34.74,0.9414,189.9761,33.9591,0.9844,31.1916,0.0016,31.0
10,29.9554,10.3323,0.9453,29.7997,-3.9317,0.9915,89.8646,30.9961,0.9453,176.3581,30.321,0.9855,28.9874,0.0017,29.0
11,30.2255,10.4747,0.9449,30.0695,-3.9155,0.9917,90.6847,31.4284,0.9449,177.933,30.7405,0.9854,29.2426,0.0017,29.0
12,28.5704,9.6037,0.9479,28.4333,-4.012,0.9903,85.7132,28.8122,0.9479,168.3763,28.1998,0.9863,27.6931,0.0018,28.0
13,30.7751,10.7647,0.9439,30.611,-3.8824,0.9921,92.3454,32.3046,0.9439,181.0923,31.583,0.9851,29.7542,0.0017,30.0
14,30.2693,10.4978,0.9448,30.1071,-3.9132,0.9917,90.799,31.4887,0.9448,178.1524,30.799,0.9854,29.2781,0.0017,29.0
15,31.0237,10.896,0.9435,30.8602,-3.867,0.9923,93.0983,32.7023,0.9435,182.546,31.9711,0.985,29.9896,0.0017,30.0
16,29.917,10.3121,0.9454,29.7626,-3.9339,0.9915,89.7518,30.9367,0.9454,176.1415,30.2633,0.9856,28.9523,0.0017,29.0
17,29.7761,10.2378,0.9457,29.6233,-3.9423,0.9913,89.3283,30.7136,0.9457,175.3278,30.0467,0.9856,28.8204,0.0017,29.0
18,28.6638,9.6528,0.9477,28.5259,-4.0066,0.9904,85.9943,28.9598,0.9477,168.9171,28.3433,0.9862,27.7809,0.0018,28.0
19,30.1286,10.4236,0.945,29.9729,-3.9213,0.9916,90.391,31.2736,0.945,177.3691,30.5902,0.9855,29.1512,0.0017,29.0
20,29.4274,10.0542,0.9463,29.2753,-3.9629,0.9911,88.2708,30.1568,0.9463,173.2957,29.5062,0.9858,28.491,0.0017,28.0
